task,layer,inactive_count,epoch,model
2,layer1,3,6,relu_0.05_method1_sgd
2,layer2,1,6,relu_0.05_method1_sgd
2,layer3,2,6,relu_0.05_method1_sgd
2,layer4,68,6,relu_0.05_method1_sgd
2,conv1,1,7,relu_0.05_method1_sgd
2,layer1,2,7,relu_0.05_method1_sgd
2,layer2,2,7,relu_0.05_method1_sgd
2,layer3,2,7,relu_0.05_method1_sgd
2,layer4,33,7,relu_0.05_method1_sgd
2,conv1,1,8,relu_0.05_method1_sgd
2,layer1,1,8,relu_0.05_method1_sgd
2,layer2,2,8,relu_0.05_method1_sgd
2,layer3,3,8,relu_0.05_method1_sgd
2,layer4,34,8,relu_0.05_method1_sgd
2,conv1,1,9,relu_0.05_method1_sgd
2,layer1,2,9,relu_0.05_method1_sgd
2,layer2,2,9,relu_0.05_method1_sgd
2,layer3,2,9,relu_0.05_method1_sgd
2,layer4,31,9,relu_0.05_method1_sgd
3,conv1,1,0,relu_0.05_method1_sgd
3,layer1,1,0,relu_0.05_method1_sgd
3,layer2,1,0,relu_0.05_method1_sgd
3,layer3,6,0,relu_0.05_method1_sgd
3,layer4,18,0,relu_0.05_method1_sgd
3,conv1,1,1,relu_0.05_method1_sgd
3,layer1,1,1,relu_0.05_method1_sgd
3,layer2,2,1,relu_0.05_method1_sgd
3,layer3,7,1,relu_0.05_method1_sgd
3,layer4,17,1,relu_0.05_method1_sgd
3,conv1,1,2,relu_0.05_method1_sgd
3,layer1,2,2,relu_0.05_method1_sgd
3,layer2,3,2,relu_0.05_method1_sgd
3,layer3,6,2,relu_0.05_method1_sgd
3,layer4,21,2,relu_0.05_method1_sgd
3,conv1,1,3,relu_0.05_method1_sgd
3,layer1,1,3,relu_0.05_method1_sgd
3,layer2,4,3,relu_0.05_method1_sgd
3,layer3,4,3,relu_0.05_method1_sgd
3,layer4,14,3,relu_0.05_method1_sgd
3,conv1,1,4,relu_0.05_method1_sgd
3,layer1,1,4,relu_0.05_method1_sgd
3,layer2,3,4,relu_0.05_method1_sgd
3,layer3,4,4,relu_0.05_method1_sgd
3,layer4,27,4,relu_0.05_method1_sgd
3,conv1,1,5,relu_0.05_method1_sgd
3,layer1,1,5,relu_0.05_method1_sgd
3,layer2,2,5,relu_0.05_method1_sgd
3,layer3,5,5,relu_0.05_method1_sgd
3,layer4,15,5,relu_0.05_method1_sgd
3,conv1,1,6,relu_0.05_method1_sgd
3,layer1,1,6,relu_0.05_method1_sgd
3,layer2,5,6,relu_0.05_method1_sgd
3,layer3,5,6,relu_0.05_method1_sgd
3,layer4,8,6,relu_0.05_method1_sgd
3,conv1,1,7,relu_0.05_method1_sgd
3,layer1,1,7,relu_0.05_method1_sgd
3,layer2,3,7,relu_0.05_method1_sgd
3,layer3,3,7,relu_0.05_method1_sgd
3,layer4,16,7,relu_0.05_method1_sgd
3,conv1,1,8,relu_0.05_method1_sgd
3,layer1,1,8,relu_0.05_method1_sgd
3,layer2,4,8,relu_0.05_method1_sgd
3,layer3,2,8,relu_0.05_method1_sgd
3,layer4,12,8,relu_0.05_method1_sgd
3,conv1,1,9,relu_0.05_method1_sgd
3,layer1,1,9,relu_0.05_method1_sgd
3,layer2,1,9,relu_0.05_method1_sgd
3,layer3,4,9,relu_0.05_method1_sgd
3,layer4,15,9,relu_0.05_method1_sgd
4,conv1,1,0,relu_0.05_method1_sgd
4,layer1,2,0,relu_0.05_method1_sgd
4,layer2,5,0,relu_0.05_method1_sgd
4,layer3,9,0,relu_0.05_method1_sgd
4,layer4,43,0,relu_0.05_method1_sgd
4,conv1,1,1,relu_0.05_method1_sgd
4,layer1,2,1,relu_0.05_method1_sgd
4,layer2,5,1,relu_0.05_method1_sgd
4,layer3,3,1,relu_0.05_method1_sgd
4,layer4,37,1,relu_0.05_method1_sgd
4,conv1,1,2,relu_0.05_method1_sgd
4,layer1,1,2,relu_0.05_method1_sgd
4,layer2,4,2,relu_0.05_method1_sgd
4,layer3,4,2,relu_0.05_method1_sgd
4,layer4,37,2,relu_0.05_method1_sgd
4,conv1,1,3,relu_0.05_method1_sgd
4,layer1,1,3,relu_0.05_method1_sgd
4,layer2,3,3,relu_0.05_method1_sgd
4,layer3,4,3,relu_0.05_method1_sgd
4,layer4,47,3,relu_0.05_method1_sgd
4,conv1,1,4,relu_0.05_method1_sgd
4,layer1,1,4,relu_0.05_method1_sgd
4,layer2,4,4,relu_0.05_method1_sgd
4,layer3,4,4,relu_0.05_method1_sgd
4,layer4,40,4,relu_0.05_method1_sgd
4,conv1,1,5,relu_0.05_method1_sgd
4,layer1,2,5,relu_0.05_method1_sgd
4,layer2,2,5,relu_0.05_method1_sgd
4,layer3,3,5,relu_0.05_method1_sgd
4,layer4,46,5,relu_0.05_method1_sgd
4,conv1,1,6,relu_0.05_method1_sgd
4,layer1,2,6,relu_0.05_method1_sgd
4,layer2,1,6,relu_0.05_method1_sgd
4,layer3,3,6,relu_0.05_method1_sgd
4,layer4,35,6,relu_0.05_method1_sgd
4,conv1,1,7,relu_0.05_method1_sgd
4,layer1,2,7,relu_0.05_method1_sgd
4,layer2,3,7,relu_0.05_method1_sgd
4,layer3,3,7,relu_0.05_method1_sgd
4,layer4,40,7,relu_0.05_method1_sgd
4,conv1,1,8,relu_0.05_method1_sgd
4,layer1,3,8,relu_0.05_method1_sgd
4,layer2,5,8,relu_0.05_method1_sgd
4,layer3,4,8,relu_0.05_method1_sgd
4,layer4,32,8,relu_0.05_method1_sgd
4,conv1,1,9,relu_0.05_method1_sgd
4,layer1,1,9,relu_0.05_method1_sgd
4,layer2,3,9,relu_0.05_method1_sgd
4,layer3,4,9,relu_0.05_method1_sgd
4,layer4,37,9,relu_0.05_method1_sgd
5,conv1,1,0,relu_0.05_method1_sgd
5,layer1,2,0,relu_0.05_method1_sgd
5,layer2,3,0,relu_0.05_method1_sgd
5,layer3,3,0,relu_0.05_method1_sgd
5,layer4,48,0,relu_0.05_method1_sgd
5,conv1,1,1,relu_0.05_method1_sgd
5,layer1,2,1,relu_0.05_method1_sgd
5,layer2,2,1,relu_0.05_method1_sgd
5,layer3,1,1,relu_0.05_method1_sgd
5,layer4,31,1,relu_0.05_method1_sgd
5,conv1,1,2,relu_0.05_method1_sgd
5,layer1,4,2,relu_0.05_method1_sgd
5,layer2,3,2,relu_0.05_method1_sgd
5,layer3,1,2,relu_0.05_method1_sgd
5,layer4,24,2,relu_0.05_method1_sgd
5,conv1,1,3,relu_0.05_method1_sgd
5,layer1,1,3,relu_0.05_method1_sgd
5,layer2,4,3,relu_0.05_method1_sgd
5,layer3,6,3,relu_0.05_method1_sgd
5,layer4,19,3,relu_0.05_method1_sgd
5,conv1,1,4,relu_0.05_method1_sgd
5,layer1,1,4,relu_0.05_method1_sgd
5,layer2,2,4,relu_0.05_method1_sgd
5,layer3,6,4,relu_0.05_method1_sgd
5,layer4,27,4,relu_0.05_method1_sgd
5,conv1,1,5,relu_0.05_method1_sgd
5,layer1,1,5,relu_0.05_method1_sgd
5,layer2,2,5,relu_0.05_method1_sgd
5,layer3,1,5,relu_0.05_method1_sgd
5,layer4,23,5,relu_0.05_method1_sgd
5,conv1,1,6,relu_0.05_method1_sgd
5,layer1,1,6,relu_0.05_method1_sgd
5,layer2,1,6,relu_0.05_method1_sgd
5,layer3,2,6,relu_0.05_method1_sgd
5,layer4,15,6,relu_0.05_method1_sgd
5,conv1,1,7,relu_0.05_method1_sgd
5,layer1,1,7,relu_0.05_method1_sgd
5,layer2,2,7,relu_0.05_method1_sgd
5,layer3,1,7,relu_0.05_method1_sgd
5,layer4,16,7,relu_0.05_method1_sgd
5,conv1,1,8,relu_0.05_method1_sgd
5,layer1,1,8,relu_0.05_method1_sgd
5,layer2,2,8,relu_0.05_method1_sgd
5,layer3,1,8,relu_0.05_method1_sgd
5,layer4,22,8,relu_0.05_method1_sgd
5,conv1,1,9,relu_0.05_method1_sgd
5,layer1,1,9,relu_0.05_method1_sgd
5,layer2,1,9,relu_0.05_method1_sgd
5,layer3,1,9,relu_0.05_method1_sgd
5,layer4,15,9,relu_0.05_method1_sgd
1,conv1,2,0,relu_0.05_method2_sgd
1,layer1,1,0,relu_0.05_method2_sgd
1,layer2,2,0,relu_0.05_method2_sgd
1,layer3,5,0,relu_0.05_method2_sgd
1,layer4,33,0,relu_0.05_method2_sgd
1,conv1,2,1,relu_0.05_method2_sgd
1,layer1,2,1,relu_0.05_method2_sgd
1,layer2,2,1,relu_0.05_method2_sgd
1,layer3,8,1,relu_0.05_method2_sgd
1,layer4,59,1,relu_0.05_method2_sgd
1,conv1,3,2,relu_0.05_method2_sgd
1,layer1,1,2,relu_0.05_method2_sgd
1,layer2,2,2,relu_0.05_method2_sgd
1,layer3,4,2,relu_0.05_method2_sgd
1,layer4,42,2,relu_0.05_method2_sgd
1,conv1,1,3,relu_0.05_method2_sgd
1,layer1,1,3,relu_0.05_method2_sgd
1,layer2,2,3,relu_0.05_method2_sgd
1,layer3,4,3,relu_0.05_method2_sgd
1,layer4,36,3,relu_0.05_method2_sgd
1,conv1,1,4,relu_0.05_method2_sgd
1,layer1,3,4,relu_0.05_method2_sgd
1,layer2,4,4,relu_0.05_method2_sgd
1,layer3,1,4,relu_0.05_method2_sgd
1,layer4,17,4,relu_0.05_method2_sgd
1,conv1,1,5,relu_0.05_method2_sgd
1,layer1,4,5,relu_0.05_method2_sgd
1,layer2,1,5,relu_0.05_method2_sgd
1,layer3,3,5,relu_0.05_method2_sgd
1,layer4,16,5,relu_0.05_method2_sgd
1,conv1,2,6,relu_0.05_method2_sgd
1,layer1,1,6,relu_0.05_method2_sgd
1,layer2,3,6,relu_0.05_method2_sgd
1,layer3,1,6,relu_0.05_method2_sgd
1,layer4,34,6,relu_0.05_method2_sgd
1,conv1,1,7,relu_0.05_method2_sgd
1,layer1,3,7,relu_0.05_method2_sgd
1,layer2,1,7,relu_0.05_method2_sgd
1,layer3,3,7,relu_0.05_method2_sgd
1,layer4,34,7,relu_0.05_method2_sgd
1,conv1,1,8,relu_0.05_method2_sgd
1,layer1,1,8,relu_0.05_method2_sgd
1,layer2,2,8,relu_0.05_method2_sgd
1,layer3,1,8,relu_0.05_method2_sgd
1,layer4,20,8,relu_0.05_method2_sgd
1,conv1,1,9,relu_0.05_method2_sgd
1,layer1,1,9,relu_0.05_method2_sgd
1,layer2,2,9,relu_0.05_method2_sgd
1,layer3,2,9,relu_0.05_method2_sgd
1,layer4,24,9,relu_0.05_method2_sgd
2,conv1,1,0,relu_0.05_method2_sgd
2,layer1,4,0,relu_0.05_method2_sgd
2,layer2,1,0,relu_0.05_method2_sgd
2,layer3,9,0,relu_0.05_method2_sgd
2,layer4,15,0,relu_0.05_method2_sgd
2,conv1,1,1,relu_0.05_method2_sgd
2,layer1,3,1,relu_0.05_method2_sgd
2,layer2,1,1,relu_0.05_method2_sgd
2,layer3,9,1,relu_0.05_method2_sgd
2,layer4,24,1,relu_0.05_method2_sgd
2,conv1,1,2,relu_0.05_method2_sgd
2,layer1,1,2,relu_0.05_method2_sgd
2,layer2,1,2,relu_0.05_method2_sgd
2,layer3,10,2,relu_0.05_method2_sgd
2,layer4,48,2,relu_0.05_method2_sgd
2,conv1,1,3,relu_0.05_method2_sgd
2,layer1,1,3,relu_0.05_method2_sgd
2,layer2,1,3,relu_0.05_method2_sgd
2,layer3,8,3,relu_0.05_method2_sgd
2,layer4,52,3,relu_0.05_method2_sgd
2,conv1,1,4,relu_0.05_method2_sgd
2,layer1,1,4,relu_0.05_method2_sgd
2,layer2,3,4,relu_0.05_method2_sgd
2,layer3,1,4,relu_0.05_method2_sgd
2,layer4,45,4,relu_0.05_method2_sgd
2,conv1,1,5,relu_0.05_method2_sgd
2,layer1,1,5,relu_0.05_method2_sgd
2,layer2,1,5,relu_0.05_method2_sgd
2,layer3,3,5,relu_0.05_method2_sgd
2,layer4,41,5,relu_0.05_method2_sgd
2,conv1,1,6,relu_0.05_method2_sgd
2,layer1,3,6,relu_0.05_method2_sgd
2,layer2,1,6,relu_0.05_method2_sgd
2,layer3,2,6,relu_0.05_method2_sgd
2,layer4,68,6,relu_0.05_method2_sgd
2,conv1,1,7,relu_0.05_method2_sgd
2,layer1,2,7,relu_0.05_method2_sgd
2,layer2,2,7,relu_0.05_method2_sgd
2,layer3,2,7,relu_0.05_method2_sgd
2,layer4,33,7,relu_0.05_method2_sgd
2,conv1,1,8,relu_0.05_method2_sgd
2,layer1,1,8,relu_0.05_method2_sgd
2,layer2,2,8,relu_0.05_method2_sgd
2,layer3,3,8,relu_0.05_method2_sgd
2,layer4,34,8,relu_0.05_method2_sgd
2,conv1,1,9,relu_0.05_method2_sgd
2,layer1,2,9,relu_0.05_method2_sgd
2,layer2,2,9,relu_0.05_method2_sgd
2,layer3,2,9,relu_0.05_method2_sgd
2,layer4,31,9,relu_0.05_method2_sgd
3,conv1,1,0,relu_0.05_method2_sgd
3,layer1,1,0,relu_0.05_method2_sgd
3,layer2,1,0,relu_0.05_method2_sgd
3,layer3,6,0,relu_0.05_method2_sgd
3,layer4,18,0,relu_0.05_method2_sgd
3,conv1,1,1,relu_0.05_method2_sgd
3,layer1,1,1,relu_0.05_method2_sgd
3,layer2,2,1,relu_0.05_method2_sgd
3,layer3,7,1,relu_0.05_method2_sgd
3,layer4,17,1,relu_0.05_method2_sgd
3,conv1,1,2,relu_0.05_method2_sgd
3,layer1,2,2,relu_0.05_method2_sgd
3,layer2,3,2,relu_0.05_method2_sgd
3,layer3,6,2,relu_0.05_method2_sgd
3,layer4,21,2,relu_0.05_method2_sgd
3,conv1,1,3,relu_0.05_method2_sgd
3,layer1,1,3,relu_0.05_method2_sgd
3,layer2,4,3,relu_0.05_method2_sgd
3,layer3,4,3,relu_0.05_method2_sgd
3,layer4,14,3,relu_0.05_method2_sgd
3,conv1,1,4,relu_0.05_method2_sgd
3,layer1,1,4,relu_0.05_method2_sgd
3,layer2,3,4,relu_0.05_method2_sgd
3,layer3,4,4,relu_0.05_method2_sgd
3,layer4,27,4,relu_0.05_method2_sgd
3,conv1,1,5,relu_0.05_method2_sgd
3,layer1,1,5,relu_0.05_method2_sgd
3,layer2,2,5,relu_0.05_method2_sgd
3,layer3,5,5,relu_0.05_method2_sgd
3,layer4,15,5,relu_0.05_method2_sgd
3,conv1,1,6,relu_0.05_method2_sgd
3,layer1,1,6,relu_0.05_method2_sgd
3,layer2,5,6,relu_0.05_method2_sgd
3,layer3,5,6,relu_0.05_method2_sgd
3,layer4,8,6,relu_0.05_method2_sgd
3,conv1,1,7,relu_0.05_method2_sgd
3,layer1,1,7,relu_0.05_method2_sgd
3,layer2,3,7,relu_0.05_method2_sgd
3,layer3,3,7,relu_0.05_method2_sgd
3,layer4,16,7,relu_0.05_method2_sgd
3,conv1,1,8,relu_0.05_method2_sgd
3,layer1,1,8,relu_0.05_method2_sgd
3,layer2,4,8,relu_0.05_method2_sgd
3,layer3,2,8,relu_0.05_method2_sgd
3,layer4,12,8,relu_0.05_method2_sgd
3,conv1,1,9,relu_0.05_method2_sgd
3,layer1,1,9,relu_0.05_method2_sgd
3,layer2,1,9,relu_0.05_method2_sgd
3,layer3,4,9,relu_0.05_method2_sgd
3,layer4,15,9,relu_0.05_method2_sgd
4,conv1,1,0,relu_0.05_method2_sgd
4,layer1,2,0,relu_0.05_method2_sgd
4,layer2,5,0,relu_0.05_method2_sgd
4,layer3,9,0,relu_0.05_method2_sgd
4,layer4,43,0,relu_0.05_method2_sgd
4,conv1,1,1,relu_0.05_method2_sgd
4,layer1,2,1,relu_0.05_method2_sgd
4,layer2,5,1,relu_0.05_method2_sgd
4,layer3,3,1,relu_0.05_method2_sgd
4,layer4,37,1,relu_0.05_method2_sgd
4,conv1,1,2,relu_0.05_method2_sgd
4,layer1,1,2,relu_0.05_method2_sgd
4,layer2,4,2,relu_0.05_method2_sgd
4,layer3,4,2,relu_0.05_method2_sgd
4,layer4,37,2,relu_0.05_method2_sgd
4,conv1,1,3,relu_0.05_method2_sgd
4,layer1,1,3,relu_0.05_method2_sgd
4,layer2,3,3,relu_0.05_method2_sgd
4,layer3,4,3,relu_0.05_method2_sgd
4,layer4,47,3,relu_0.05_method2_sgd
4,conv1,1,4,relu_0.05_method2_sgd
4,layer1,1,4,relu_0.05_method2_sgd
4,layer2,4,4,relu_0.05_method2_sgd
4,layer3,4,4,relu_0.05_method2_sgd
4,layer4,40,4,relu_0.05_method2_sgd
4,conv1,1,5,relu_0.05_method2_sgd
4,layer1,2,5,relu_0.05_method2_sgd
4,layer2,2,5,relu_0.05_method2_sgd
4,layer3,3,5,relu_0.05_method2_sgd
4,layer4,46,5,relu_0.05_method2_sgd
4,conv1,1,6,relu_0.05_method2_sgd
4,layer1,2,6,relu_0.05_method2_sgd
4,layer2,1,6,relu_0.05_method2_sgd
4,layer3,3,6,relu_0.05_method2_sgd
4,layer4,35,6,relu_0.05_method2_sgd
4,conv1,1,7,relu_0.05_method2_sgd
4,layer1,2,7,relu_0.05_method2_sgd
4,layer2,3,7,relu_0.05_method2_sgd
4,layer3,3,7,relu_0.05_method2_sgd
4,layer4,40,7,relu_0.05_method2_sgd
4,conv1,1,8,relu_0.05_method2_sgd
4,layer1,3,8,relu_0.05_method2_sgd
4,layer2,5,8,relu_0.05_method2_sgd
4,layer3,4,8,relu_0.05_method2_sgd
4,layer4,32,8,relu_0.05_method2_sgd
4,conv1,1,9,relu_0.05_method2_sgd
4,layer1,1,9,relu_0.05_method2_sgd
4,layer2,3,9,relu_0.05_method2_sgd
4,layer3,4,9,relu_0.05_method2_sgd
4,layer4,37,9,relu_0.05_method2_sgd
5,conv1,1,0,relu_0.05_method2_sgd
5,layer1,2,0,relu_0.05_method2_sgd
5,layer2,3,0,relu_0.05_method2_sgd
5,layer3,3,0,relu_0.05_method2_sgd
5,layer4,48,0,relu_0.05_method2_sgd
5,conv1,1,1,relu_0.05_method2_sgd
5,layer1,2,1,relu_0.05_method2_sgd
5,layer2,2,1,relu_0.05_method2_sgd
5,layer3,1,1,relu_0.05_method2_sgd
5,layer4,31,1,relu_0.05_method2_sgd
5,conv1,1,2,relu_0.05_method2_sgd
5,layer1,4,2,relu_0.05_method2_sgd
5,layer2,3,2,relu_0.05_method2_sgd
5,layer3,1,2,relu_0.05_method2_sgd
5,layer4,24,2,relu_0.05_method2_sgd
5,conv1,1,3,relu_0.05_method2_sgd
5,layer1,1,3,relu_0.05_method2_sgd
5,layer2,4,3,relu_0.05_method2_sgd
5,layer3,6,3,relu_0.05_method2_sgd
5,layer4,19,3,relu_0.05_method2_sgd
5,conv1,1,4,relu_0.05_method2_sgd
5,layer1,1,4,relu_0.05_method2_sgd
5,layer2,2,4,relu_0.05_method2_sgd
5,layer3,6,4,relu_0.05_method2_sgd
5,layer4,27,4,relu_0.05_method2_sgd
5,conv1,1,5,relu_0.05_method2_sgd
5,layer1,1,5,relu_0.05_method2_sgd
5,layer2,2,5,relu_0.05_method2_sgd
5,layer3,1,5,relu_0.05_method2_sgd
5,layer4,23,5,relu_0.05_method2_sgd
5,conv1,1,6,relu_0.05_method2_sgd
5,layer1,1,6,relu_0.05_method2_sgd
5,layer2,1,6,relu_0.05_method2_sgd
5,layer3,2,6,relu_0.05_method2_sgd
5,layer4,15,6,relu_0.05_method2_sgd
5,conv1,1,7,relu_0.05_method2_sgd
5,layer1,1,7,relu_0.05_method2_sgd
5,layer2,2,7,relu_0.05_method2_sgd
5,layer3,1,7,relu_0.05_method2_sgd
5,layer4,16,7,relu_0.05_method2_sgd
5,conv1,1,8,relu_0.05_method2_sgd
5,layer1,1,8,relu_0.05_method2_sgd
5,layer2,2,8,relu_0.05_method2_sgd
5,layer3,1,8,relu_0.05_method2_sgd
5,layer4,22,8,relu_0.05_method2_sgd
5,conv1,1,9,relu_0.05_method2_sgd
5,layer1,1,9,relu_0.05_method2_sgd
5,layer2,1,9,relu_0.05_method2_sgd
5,layer3,1,9,relu_0.05_method2_sgd
5,layer4,15,9,relu_0.05_method2_sgd
1,conv1,2,0,relu_0.1_method2_sgd
1,layer1,1,0,relu_0.1_method2_sgd
1,layer2,8,0,relu_0.1_method2_sgd
1,layer3,19,0,relu_0.1_method2_sgd
1,layer4,167,0,relu_0.1_method2_sgd
1,conv1,4,1,relu_0.1_method2_sgd
1,layer1,2,1,relu_0.1_method2_sgd
1,layer2,3,1,relu_0.1_method2_sgd
1,layer3,19,1,relu_0.1_method2_sgd
1,layer4,201,1,relu_0.1_method2_sgd
1,conv1,5,2,relu_0.1_method2_sgd
1,layer1,1,2,relu_0.1_method2_sgd
1,layer2,3,2,relu_0.1_method2_sgd
1,layer3,14,2,relu_0.1_method2_sgd
1,layer4,187,2,relu_0.1_method2_sgd
1,conv1,1,3,relu_0.1_method2_sgd
1,layer1,1,3,relu_0.1_method2_sgd
1,layer2,3,3,relu_0.1_method2_sgd
1,layer3,9,3,relu_0.1_method2_sgd
1,layer4,169,3,relu_0.1_method2_sgd
1,conv1,1,4,relu_0.1_method2_sgd
1,layer1,3,4,relu_0.1_method2_sgd
1,layer2,5,4,relu_0.1_method2_sgd
1,layer3,3,4,relu_0.1_method2_sgd
1,layer4,105,4,relu_0.1_method2_sgd
1,conv1,1,5,relu_0.1_method2_sgd
1,layer1,7,5,relu_0.1_method2_sgd
1,layer2,4,5,relu_0.1_method2_sgd
1,layer3,6,5,relu_0.1_method2_sgd
1,layer4,91,5,relu_0.1_method2_sgd
1,conv1,3,6,relu_0.1_method2_sgd
1,layer1,1,6,relu_0.1_method2_sgd
1,layer2,4,6,relu_0.1_method2_sgd
1,layer3,3,6,relu_0.1_method2_sgd
1,layer4,139,6,relu_0.1_method2_sgd
1,conv1,1,7,relu_0.1_method2_sgd
1,layer1,4,7,relu_0.1_method2_sgd
1,layer2,1,7,relu_0.1_method2_sgd
1,layer3,12,7,relu_0.1_method2_sgd
1,layer4,105,7,relu_0.1_method2_sgd
1,conv1,1,8,relu_0.1_method2_sgd
1,layer1,1,8,relu_0.1_method2_sgd
1,layer2,3,8,relu_0.1_method2_sgd
1,layer3,6,8,relu_0.1_method2_sgd
1,layer4,74,8,relu_0.1_method2_sgd
1,conv1,1,9,relu_0.1_method2_sgd
1,layer1,2,9,relu_0.1_method2_sgd
1,layer2,2,9,relu_0.1_method2_sgd
1,layer3,3,9,relu_0.1_method2_sgd
1,layer4,95,9,relu_0.1_method2_sgd
2,conv1,1,0,relu_0.1_method2_sgd
2,layer1,2,0,relu_0.1_method2_sgd
2,layer2,3,0,relu_0.1_method2_sgd
2,layer3,10,0,relu_0.1_method2_sgd
2,layer4,155,0,relu_0.1_method2_sgd
2,conv1,1,1,relu_0.1_method2_sgd
2,layer1,1,1,relu_0.1_method2_sgd
2,layer2,4,1,relu_0.1_method2_sgd
2,layer3,14,1,relu_0.1_method2_sgd
2,layer4,126,1,relu_0.1_method2_sgd
2,conv1,1,2,relu_0.1_method2_sgd
2,layer1,4,2,relu_0.1_method2_sgd
2,layer2,3,2,relu_0.1_method2_sgd
2,layer3,22,2,relu_0.1_method2_sgd
2,layer4,95,2,relu_0.1_method2_sgd
2,conv1,1,3,relu_0.1_method2_sgd
2,layer1,2,3,relu_0.1_method2_sgd
2,layer2,4,3,relu_0.1_method2_sgd
2,layer3,16,3,relu_0.1_method2_sgd
2,layer4,38,3,relu_0.1_method2_sgd
2,conv1,1,4,relu_0.1_method2_sgd
2,layer1,1,4,relu_0.1_method2_sgd
2,layer2,3,4,relu_0.1_method2_sgd
2,layer3,19,4,relu_0.1_method2_sgd
2,layer4,77,4,relu_0.1_method2_sgd
2,conv1,1,5,relu_0.1_method2_sgd
2,layer1,2,5,relu_0.1_method2_sgd
2,layer2,2,5,relu_0.1_method2_sgd
2,layer3,8,5,relu_0.1_method2_sgd
2,layer4,121,5,relu_0.1_method2_sgd
2,conv1,1,6,relu_0.1_method2_sgd
2,layer1,2,6,relu_0.1_method2_sgd
2,layer2,1,6,relu_0.1_method2_sgd
2,layer3,10,6,relu_0.1_method2_sgd
2,layer4,72,6,relu_0.1_method2_sgd
2,conv1,1,7,relu_0.1_method2_sgd
2,layer1,3,7,relu_0.1_method2_sgd
2,layer2,1,7,relu_0.1_method2_sgd
2,layer3,13,7,relu_0.1_method2_sgd
2,layer4,71,7,relu_0.1_method2_sgd
2,conv1,1,8,relu_0.1_method2_sgd
2,layer1,4,8,relu_0.1_method2_sgd
2,layer2,3,8,relu_0.1_method2_sgd
2,layer3,9,8,relu_0.1_method2_sgd
2,layer4,78,8,relu_0.1_method2_sgd
2,conv1,1,9,relu_0.1_method2_sgd
2,layer1,2,9,relu_0.1_method2_sgd
2,layer2,2,9,relu_0.1_method2_sgd
2,layer3,9,9,relu_0.1_method2_sgd
2,layer4,69,9,relu_0.1_method2_sgd
3,conv1,1,0,relu_0.1_method2_sgd
3,layer1,2,0,relu_0.1_method2_sgd
3,layer2,9,0,relu_0.1_method2_sgd
3,layer3,8,0,relu_0.1_method2_sgd
3,layer4,92,0,relu_0.1_method2_sgd
3,conv1,1,1,relu_0.1_method2_sgd
3,layer1,1,1,relu_0.1_method2_sgd
3,layer2,2,1,relu_0.1_method2_sgd
3,layer3,16,1,relu_0.1_method2_sgd
3,layer4,53,1,relu_0.1_method2_sgd
3,conv1,1,2,relu_0.1_method2_sgd
3,layer1,3,2,relu_0.1_method2_sgd
3,layer2,6,2,relu_0.1_method2_sgd
3,layer3,9,2,relu_0.1_method2_sgd
3,layer4,53,2,relu_0.1_method2_sgd
3,conv1,1,3,relu_0.1_method2_sgd
3,layer1,4,3,relu_0.1_method2_sgd
3,layer2,1,3,relu_0.1_method2_sgd
3,layer3,4,3,relu_0.1_method2_sgd
3,layer4,25,3,relu_0.1_method2_sgd
3,conv1,1,4,relu_0.1_method2_sgd
3,layer1,3,4,relu_0.1_method2_sgd
3,layer2,1,4,relu_0.1_method2_sgd
3,layer3,6,4,relu_0.1_method2_sgd
3,layer4,64,4,relu_0.1_method2_sgd
3,conv1,1,5,relu_0.1_method2_sgd
3,layer1,2,5,relu_0.1_method2_sgd
3,layer2,4,5,relu_0.1_method2_sgd
3,layer3,7,5,relu_0.1_method2_sgd
3,layer4,46,5,relu_0.1_method2_sgd
3,conv1,1,6,relu_0.1_method2_sgd
3,layer1,2,6,relu_0.1_method2_sgd
3,layer2,2,6,relu_0.1_method2_sgd
3,layer3,8,6,relu_0.1_method2_sgd
3,layer4,25,6,relu_0.1_method2_sgd
3,conv1,1,7,relu_0.1_method2_sgd
3,layer1,2,7,relu_0.1_method2_sgd
3,layer2,2,7,relu_0.1_method2_sgd
3,layer3,6,7,relu_0.1_method2_sgd
3,layer4,47,7,relu_0.1_method2_sgd
3,conv1,1,8,relu_0.1_method2_sgd
3,layer1,3,8,relu_0.1_method2_sgd
3,layer2,2,8,relu_0.1_method2_sgd
3,layer3,6,8,relu_0.1_method2_sgd
3,layer4,38,8,relu_0.1_method2_sgd
3,conv1,1,9,relu_0.1_method2_sgd
3,layer1,2,9,relu_0.1_method2_sgd
3,layer2,4,9,relu_0.1_method2_sgd
3,layer3,4,9,relu_0.1_method2_sgd
3,layer4,26,9,relu_0.1_method2_sgd
4,conv1,1,0,relu_0.1_method2_sgd
4,layer1,3,0,relu_0.1_method2_sgd
4,layer2,3,0,relu_0.1_method2_sgd
4,layer3,9,0,relu_0.1_method2_sgd
4,layer4,138,0,relu_0.1_method2_sgd
4,conv1,1,1,relu_0.1_method2_sgd
4,layer1,7,1,relu_0.1_method2_sgd
4,layer2,3,1,relu_0.1_method2_sgd
4,layer3,4,1,relu_0.1_method2_sgd
4,layer4,138,1,relu_0.1_method2_sgd
4,conv1,1,2,relu_0.1_method2_sgd
4,layer1,3,2,relu_0.1_method2_sgd
4,layer2,3,2,relu_0.1_method2_sgd
